id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r03-041,2021,令和,3,fill_blank,不動産の鑑定評価に関する理論,不動産とその価格の特徴,1,不動産とその価格の特徴に関する次の記述のうち、イからハまでの空欄に入る語句として、正しいものの組合せはどれか。\n</border>・ 不動産は、特定の自然的条件及び人文的条件を与件として利用され、その社会的及び経済的な有用性を発揮するものである。そして、これらの諸条件の イ に伴って、その ロ 並びにその社会的及び経済的な有用性は ハ 。,イ 標準化 ロ 利用形態 ハ 最大化される,イ 標準化 ロ 取引形態 ハ 標準化される,イ 変化 ロ 取引形態 ハ 変化する,イ 標準化 ロ 利用形態 ハ 標準化される,イ 変化 ロ 利用形態 ハ 変化する,5,,,,,,2025-11-08T00:00:00Z
r03-042,2021,令和,3,single_select,不動産の鑑定評価に関する理論,不動産鑑定士の責務,2,不動産鑑定士の責務に関する次の記述のうち、誤っているものはどれか。,不動産鑑定士は、依頼者に対して鑑定評価の結果を分かり易く誠実に説明を行い得るようにするとともに、社会一般に対して、実践活動をもって、不動産の鑑定評価及びその制度に関する理解を深めることにより、不動産の鑑定評価に対する信頼を高めるよう努める必要がある。,不動産鑑定士は、正当な理由がなくて、その職務上取り扱ったことについて知り得た秘密を他に漏らしてはならない。,不動産鑑定士は、不動産の鑑定評価に当たって、専門職業家としての注意を払わなければならない。,土地は、土地基本法に定められているとおり、投機的取引の対象とされてはならないものである。不動産鑑定士は、このような土地についての基本的な認識に立って不動産の鑑定評価を行わなければならない。そのため取引事例比較法の適用に当たって、投機的取引であると認められる取引事例を採用する場合には、事情補正を行うことにより投機的な要素を排除する必要がある。,不動産鑑定士は、自己の能力の限度を超えていると思われる不動産の鑑定評価を引き受けることによって、公平な鑑定評価を害する恐れのあるときは、原則として不動産の鑑定評価を引き受けてはならない。,4,,,,,,2025-11-08T00:00:00Z
r03-043,2021,令和,3,combo_iroha,不動産の鑑定評価に関する理論,不動産の類型,3,不動産の類型に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合せはどれか。\n</border>イ 不動産の類型とは、不動産の用途、有形的利用及び権利関係の態様に応じて区分される不動産の分類をいう。\n</border>ロ 宅地について、通行地役権が付着している場合における当該宅地の所有権は、底地である。\n</border>ハ 宅地の類型は、必ずしも更地、建付地、借地権、底地、区分地上権の中から選択しなくてもよい。\n</border>ニ 借地権付建物とは、借地権を権原とする建物が存する場合における当該建物及び借地権をいい、建物が自用の場合と賃貸されている場合のいずれも含まれる。\n</border>ホ 不動産が土地と建物の結合により構成される場合において、建物を取り壊すことが最有効使用である場合は、対象不動産の類型が建物及びその敷地の類型となることはない。,イとロ,イとホ,ロとハ,ハとニ,ニとホ,4,,,,,,2025-11-08T00:00:00Z
r03-044,2021,令和,3,combo_iroha,不動産の鑑定評価に関する理論,宅地の類型,4,宅地の類型に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\n</border>イ 更地とは、建物等の定着物がなく、かつ使用収益を制約する権利の付着していない宅地をいい、当該更地の属する用途的地域の一般的な標準的使用との関連において、最有効使用が可能な土地である。\n</border>ロ 建付地とは、建物等の用に供されている敷地で建物等及びその敷地が同一の所有者に属している宅地をいい、最有効使用の観点から建物を取り壊すことが妥当と認められる場合においても、建付地として部分鑑定評価を行うことがある。\n</border>ハ 借地権とは、借地借家法（廃止前の借地法を含む。）に基づく借地権（建物の所有を目的とする地上権又は土地の賃借権）をいい、借地借家法に規定する定期借地権は、借地権に該当する。\n</border>ニ 残存期間が１ 年未満となった定期借地権の付着している宅地は、底地には該当しない。\n</border>ホ 区分地上権とは、工作物を所有するため、地下又は空間に上下の範囲を定めて設定された地上権をいい、民法第269 条の ２ に基づく地下又は空間を目的とする地上権である。,イとハ,イとホ,ロとハ,ロとニ,ニとホ,5,,,,,,2025-11-08T00:00:00Z
r03-045,2021,令和,3,single_select,不動産の鑑定評価に関する理論,不動産の鑑定評価,5,不動産の鑑定評価に関する次の記述のうち、誤っているものはどれか。,既存商業地において複数のマンションの建設が進んでいるなど、マンションを中心とした地域への移行が明らかな場合には、移行後の土地の種別である住宅地の個別的要因をより重視すべきである。,宅地見込地の鑑定評価においては、特に都市の外延的発展を促進する要因の近隣地域に及ぼす影響度、付近における公共施設及び公益的施設の整備の動向等を総合的に勘案するものとする。,代替性を有する ２ 以上の財が存在する場合には、これらの財の価格は、相互に影響を及ぼして定まるものであり、不動産の価格も代替可能な他の不動産のほか、有価証券、貴金属といった財の価格と相互に関連して形成される。,住宅地域に存する不動産の鑑定評価を行うに当たっては、商業施設の配置の状態、洪水、地すべり等の災害の発生の危険性等の地域要因について、市場参加者の観点から明確に把握し、分析する必要がある。,農地を農地以外のものとするための取引における農地の鑑定評価額は、比準価格及び収益価格を関連づけて決定するものとし、再調達原価が把握できる場合には、積算価格をも比較考量して決定すべきである。,5,,,,,,2025-11-08T00:00:00Z
r03-046,2021,令和,3,combo_iroha,不動産の鑑定評価に関する理論,建物に係る個別的要因,6,建物に係る個別的要因に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\n</border>イ 設計、設備等の機能性は、建物の再調達原価を求める際の工事費の算定時に必要とされる項目であるとともに、還元利回りに影響を及ぼすことはない。\n</border>ロ 建物の性能に係る耐震性については、建物の築年数や耐震補強工事の実施の有無により、対象不動産の価格形成に影響を及ぼす可能性がある。\n</border>ハ 維持管理の状態の良否は、建物の減価の度合い及び将来見込まれる修繕費用の多寡に影響を与えるものであり、対象不動産の価格形成に影響を及ぼす可能性がある。\n</border>ニ 有害な物質の使用の有無及びその状態は、対策工事費等の要否及びその多寡に影響を与えるものであり、対象不動産の価格形成に影響を及ぼす可能性がある。\n</border>ホ 建物が新築直後である場合には、当該建物は敷地と適応し、環境と適合していることになるので、建物の鑑定評価額が、その再調達原価を下回ることはない。,イとロ,イとホ,ロとハ,ハとニ,ニとホ,2,,,,,,2025-11-08T00:00:00Z
r03-047,2021,令和,3,combo_iroha,不動産の鑑定評価に関する理論,個別的要因,7,個別的要因に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合せはどれか。\n</border>イ 「敷地内における建物、駐車場、通路、庭等の配置」は、居住環境の極めて良好な住宅地域のうちにある優良住宅地において、特に着目すべき土地に関する個別的要因である。\n</border>ロ 宅地の各用途に共通する個別的要因として、「情報通信基盤の利用の難易」がある。\n</border>ハ 物流施設に関する個別的要因として、「屋根、外壁、床、内装、電気設備、給排水設備、衛生設備、防災設備等に関する破損・老朽化等の状況及び保全の状態」がある。\n</border>ニ 建物及びその敷地に関する個別的要因として、「修繕計画及び管理計画の良否並びにその実施の状態」がある。\n</border>ホ 賃貸用不動産に関する個別的要因として、「賃借人の属性」があるが、当該要因は、賃借人の業種、企業規模に関する事項であることから、居住用の賃貸用不動産において勘案する必要はない。,イとロとハ,イとロとホ,イとニとホ,ロとハとニ,ハとニとホ,4,,,,,,2025-11-08T00:00:00Z
r03-048,2021,令和,3,single_select,不動産の鑑定評価に関する理論,不動産の価格に関する諸原則,8,不動産の価格に関する諸原則に関する次の記述のうち、誤っているものはどれか。,不動産の価格は一般の財と同様にその需要と供給との相互関係によって定まるが、一方で地理的位置の固定性や不増性、用途の多様性等の不動産の特性を有するために、その需要と供給及び価格の形成には、これらの特性の反映が認められる。,収益分析法の適用に当たっては、収益配分の原則を活用している。,収益還元法の適用における還元利回り及び割引率の算定に当たっては、変動の原則を活用している。,不動産の価格は、その不動産の最有効使用を前提として把握される価格を標準として形成されるが、この場合の最有効使用は、現実の社会経済情勢の下で客観的にみて、良識と通常の使用能力を持つ人による合理的かつ合法的な最高最善の使用方法に基づくものである。,鑑定評価に当たっては、不動産の価格に関する諸原則の法則性を認識し、活用すべきであるが、不動産鑑定評価基準においては、「試算価格又は試算賃料の調整」における「各試算価格又は試算賃料が有する説得力に係る判断」として、「不動産の価格に関する諸原則の当該案件に即応した活用の適否」の検討が求められている。,5,,,,,,2025-11-08T00:00:00Z
r03-049,2021,令和,3,single_select,不動産の鑑定評価に関する理論,鑑定評価の条件,9,鑑定評価の条件に関する次の記述のうち、正しいものはどれか。,対象確定条件を設定するに当たっては、鑑定評価書の利用者の利益を害するおそれがないかどうかの観点から当該条件設定の妥当性を確認しなければならないが、未竣工建物等鑑定評価ではない場合には、実現性及び合法性の観点からの妥当性の確認までは求められていない。,土壌汚染の有無につき、調査範囲等条件を設定して当該要因を価格形成要因から除外して鑑定評価を行うに当たっては、鑑定評価書の利用者の利益を害するおそれがないと判断されることに加え、土壌汚染の除去についての実現性を確認する必要がある。,個別的要因についての想定上の条件を設定する場合における実現性の確認に当たっては、所有者等の現況を変更する権限を持つ者に、現況の変更を行う意思や着手の確認を行う必要があるが、現況を変更するために必要な資力の確認までは求められていない。,現況が貸家及びその敷地である不動産について、賃借人の存しない自用の建物及びその敷地であるものと想定して鑑定評価を行う場合は、権利関係に係る個別的要因について想定上の条件を付加する場合に該当する。,不動産鑑定士は、依頼目的、利用者の範囲、条件設定の要件等を総合的に検討し、条件設定を行うことが妥当であると判断した場合は、依頼者との間で合意がなくても、条件設定を行うことができる。,1,,,,,,2025-11-08T00:00:00Z
r03-050,2021,令和,3,single_select,不動産の鑑定評価に関する理論,鑑定評価によって求める価格又は賃料の種類,10,鑑定評価によって求める価格又は賃料の種類に関する次の記述のうち、正しいものはどれか。,ホテル、ゴルフ場等の事業用不動産においては、市場参加者が相対的に限定されるため、当該不動産の鑑定評価によって求める価格の種類は、特定価格となる。,売却を伴わない不動産の鑑定評価を行うに当たっては、市場で公開する機会がないため、求める価格の種類は、特定価格となる。,併合鑑定評価又は分割鑑定評価によって求める価格の種類は、限定価格となる。,借地権者が底地の併合を目的とする売買を行う場合は、市場が相対的に限定されるため、当該市場限定に基づく市場価値を求める場合の価格の種類は、限定価格となる。,価格時点において、当該建物等の工事が完了し、その使用収益が可能な状態であることを前提とする未竣工建物等鑑定評価を行うに当たっては、未完成の建物である市場性を有しない不動産を評価することになるため、求める価格の種類は、特殊価格となる。,4,,,,,,2025-11-08T00:00:00Z
